source,object,shape_a,shape_b,picture_shape_a,picture_shape_b,set,list_1,list_2,list_3,list_4
original,corn,There was corn in the field.,There was corn in the cooking pot. ,corn.jpg,cornpieces.jpg,1,aa,ab,bb,ba
new,apple pie,There was apple pie on the table.,There was apple pie on the plate. ,applepie.jpg,applepieslice.jpg,1,aa,ab,bb,ba
original,towel,There was a towel on the floor.,There was a towel on the rack. ,towelfloor.jpg,towelhanging.jpg,1,aa,ab,bb,ba
new,owl,There was an owl in the barn.,There was an owl in the sky.,owlsit.jpg,owlsky.jpg,1,aa,ab,bb,ba
original,tomato ,There was a tomato on the vine. ,There was tomato on the pizza.,tomato.jpg,tomatoslice.jpg,1,aa,ab,bb,ba
original,book,There was a book on the shelf.,There was a book on the photocopier. ,book.jpg,bookdown.jpg,1,aa,ab,bb,ba
new,lamp,There was a lamp on the floor.,There was a lamp on the table.,lampfloor.jpg,lamptable.jpg,1,aa,ab,bb,ba
original,sailboat,There was a sailboat on the trailer.,There was a sailboat on the lake.,boatnosail.jpg,boat.jpg,1,aa,ab,bb,ba
new,squid,There was a squid in the water.,There was squid in the pasta.,squid.jpg,squidcooked.jpg,1,aa,ab,bb,ba
original,mushroom,There was a mushroom in the forest. ,There was mushroom in the soup. ,mushroom.jpg,mushroomsliced.jpg,1,aa,ab,bb,ba
new,ice,There was ice in the glass.,There was ice in the gutter.,ice.jpg,icicles.jpg,1,aa,ab,bb,ba
original,shirt,There was a shirt on the hanger.,There was a shirt on the shelf.,shirthanging.jpg,shirtfolded.jpg,1,aa,ab,bb,ba
new,staple,There was a staple in the machine.,There was a staple in the article.,staplemachine.jpg,staplepaper.jpg,1,aa,ab,bb,ba
new new,zodiac,There was a zodiac in the ocean.,There was a zodiac in the garage.,zodiac.jpg,zodiacdeflated.jpg,1,aa,ab,bb,ba
new,umbrella,There was an umbrella in her bag.,There was an umbrella in her hand.,umbrellabag.jpg,umbrellahand.jpg,1,aa,ab,bb,ba
new,shoelace,There was a shoelace in the package.,There was a shoelace in the sneaker.,shoelace.jpg,shoelacetied.jpg,2,ab,bb,ba,aa
new new,walnut,There was a walnut on the tree.,There was walnut on the brownie.,walnut.jpg,walnutpiece.jpg,2,ab,bb,ba,aa
